MP2K3_HUMAN	MAP2K3
TM222_HUMAN	TMEM222
COMD1_HUMAN	COMMD1
CBY1_HUMAN	CBY1
NDUS2_HUMAN	NDUFS2
TFIP8_HUMAN	TNFAIP8
MIER3_HUMAN	MIER3
SMAD6_HUMAN	SMAD6
CP21A_HUMAN	CYP21A2
CV039_HUMAN	C22orf39
TROP_HUMAN	TRO
SRAC1_HUMAN	SERAC1
TEX37_HUMAN	TEX37
SGIP1_HUMAN	SGIP1
RIC8B_HUMAN	RIC8B
UBE2O_HUMAN	UBE2O
UBE2N_HUMAN	UBE2N
MYH11_HUMAN	MYH11
RBM15_HUMAN	RBM15
KCNK3_HUMAN	KCNK3
SRSF8_HUMAN	SRSF8
COE1_HUMAN	EBF1
ARPC3_HUMAN	ARPC3
COQ9_HUMAN	COQ9
ADH6_HUMAN	ADH6
TENA_HUMAN	TNC
B3GNL_HUMAN	B3GNTL1
B3GA2_HUMAN	B3GAT2
GNAS2_HUMAN	GNAS
CDK7_HUMAN	CDK7
B3AT_HUMAN	SLC4A1
SEPT3_HUMAN	SEPTIN3
PRDM4_HUMAN	PRDM4
PP2BA_HUMAN	PPP3CA
RPB1B_HUMAN	POLR2J2
NAV3_HUMAN	NAV3
SPIR1_HUMAN	SPIRE1
RN165_HUMAN	RNF165
DNM3L_HUMAN	DNMT3L
P4K2B_HUMAN	PI4K2B
PCDA6_HUMAN	PCDHA6
GALK2_HUMAN	GALK2
Z804A_HUMAN	ZNF804A
ABEC2_HUMAN	APOBEC2
SUPT3_HUMAN	SUPT3H
MSX2_HUMAN	MSX2
WDR76_HUMAN	WDR76
PTBP1_HUMAN	PTBP1
NAR4_HUMAN	ART4
OPHN1_HUMAN	OPHN1
ZBED1_HUMAN	ZBED1
RTF2_HUMAN	RTF2
LGUL_HUMAN	GLO1
CDK8_HUMAN	CDK8
GEM_HUMAN	GEM
WT1_HUMAN	WT1
PHLP2_HUMAN	PHLPP2
K1549_HUMAN	KIAA1549
TOM5_HUMAN	TOMM5
ZN689_HUMAN	ZNF689
MORC3_HUMAN	MORC3
HACD3_HUMAN	HACD3
EDN3_HUMAN	EDN3
NOP10_HUMAN	NOP10
CDK16_HUMAN	CDK16
GTPB2_HUMAN	GTPBP2
LIMD1_HUMAN	LIMD1
PPT1_HUMAN	PPT1
PLK1_HUMAN	PLK1
TRI62_HUMAN	TRIM62
MIME_HUMAN	OGN
AMFR_HUMAN	AMFR
COOA1_HUMAN	COL24A1
PEX12_HUMAN	PEX12
HAOX2_HUMAN	HAO2
MED17_HUMAN	MED17
CP2S1_HUMAN	CYP2S1
UBCP1_HUMAN	UBLCP1
MET7A_HUMAN	METTL7A
RFFL_HUMAN	RFFL
RHAG_HUMAN	RHAG
PNM6A_HUMAN	PNMA6A
CLD11_HUMAN	CLDN11
BRAF_HUMAN	BRAF
