unigeneid	genename
Hs.85258	CD8A
Hs.85524	TRIM55
Hs.85937	MYBPC2
Hs.85962	CHTF8
Hs.86092	MYLK2
Hs.86154	LIN28A
Hs.86232	GDF3
Hs.86368	CLGN
Hs.86492	SMPX
Hs.86492	SMPX
Hs.86507	C20orf166
Hs.86543	GYLTL1B
Hs.86941	HCN4
Hs.87205	CD180
Hs.87236	FOXI1
Hs.87295	FAM18B1
Hs.87469	ACCN4
Hs.87539	ALDH3B2
Hs.87539	ALDH3B2
Hs.87752	MSN
Hs.88012	SIT1
Hs.88297	STK17B
Hs.88417	SUSD3
Hs.88556	HDAC1
Hs.89029	ANUBL1
Hs.89499	ALOX5
Hs.89575	CD79B
Hs.89583	TLX1
Hs.89584	INSM1
Hs.89605	CHRNA3
Hs.89655	PTPRN
Hs.89679	IL2
Hs.89714	CXCL5
Hs.89771	GCKR
Hs.89771	GCKR
Hs.89839	EPHA1
Hs.89983	MASP1
Hs.90107	ADRM1
Hs.90232	ProSAPiP1
Hs.90297	SNCB
Hs.90572	PTK7
Hs.90708	GZMA
Hs.90753	HTATIP2
Hs.90791	GABRA6
Hs.91381	CSMD3
Hs.91531	MLLT6
Hs.91579	IMP4
Hs.91791	ANO3
Hs.91910	GSG1L
Hs.91930	TTLL6
Hs.92858	GUCA1A
Hs.93194	APOA1
Hs.93534	STXBP5
Hs.93574	HOXD3
Hs.93675	C10orf10
Hs.93764	CPA4
Hs.94070	OMD
Hs.94107	GSTA2
Hs.94367	NKX2-1
Hs.95008	KISS1
Hs.95120	CYGB
Hs.95140	STARD8
Hs.95424	MAP4K1
Hs.95577	CDK4
Hs.95972	SILV
Hs.95990	PKLR
Hs.96633	NACAD
Hs.96852	EDC3
Hs.97174	C11orf20
Hs.97220	CHAD
Hs.97316	NGEF
Hs.97408	LOC338864
Hs.97414	ANKRD26P1
Hs.97439	NT5C2
Hs.97464	RNF17
Hs.97477	LYZL6
Hs.97501	C4orf17
Hs.97540	LOC389023
Hs.97541	SPATA19
Hs.97542	PLCZ1
Hs.97556	C14orf148
Hs.97592	C13orf28
Hs.97633	AKAP4
Hs.97644	SCGB2A1
Hs.97712	LOC100130700
Hs.97714	HEATR7B2
Hs.97726	SPATC1
Hs.97784	C1orf111
Hs.97794	RAD9B
Hs.97933	WDR63
Hs.97978	TEX101
Hs.97997	DROSHA
Hs.98008	GK2
Hs.98025	FSIP2
Hs.98095	C1orf158
Hs.98197	LOC100133053
Hs.98202	C12orf54
Hs.98243	SPINK2
Hs.98262	GRIK2
Hs.98288	AQPEP
Hs.98328	C11orf70
Hs.98338	AURKC
Hs.98367	SOX17
Hs.98712	TXNDC2
Hs.98723	KIAA1875
Hs.98785	FGFBP2
Hs.98788	RCOR2
Hs.98843	TMEM31
Hs.98848	ADAM3A
Hs.98849	DYNLRB2
Hs.98910	RFTN1
Hs.98959	FAM166B
Hs.98967	ATP6V0A4
Hs.99004	MURC
Hs.99052	NCRNA00256B
Hs.99120	DDX3Y
Hs.99141	COBL
Hs.99196	AGPAT9
Hs.99231	NPFFR2
Hs.99354	RNF151
Hs.99476	SERPINA12
Hs.99488	C2orf76
Hs.99491	RASGRP2
Hs.99819	USP16
Hs.99855	FPR2
Hs.99863	ELANE
Hs.99886	C4BPB
Hs.99913	ADRB1
Hs.99922	DRD4
Hs.99936	KRT10
Hs.99949	PIP
Hs.99960	MS4A3
Hs.99960	MS4A3
Hs.100043	CCDC124
Hs.100322	CA6
Hs.100431	CXCL13
Hs.100686	AGR3
Hs.101674	ARSF
Hs.101745	SLITRK3
Hs.101915	ELOVL4
Hs.101937	SIX2
Hs.102307	SLC13A2
Hs.102471	PHACTR2
Hs.102866	TKTL1
Hs.103253	PLIN1
Hs.104019	TACC3
Hs.104215	GDEP
Hs.104519	PLD2
Hs.104555	NPFF
Hs.104636	TULP2
Hs.104637	SLC1A7
Hs.104744	MEX3B
Hs.104865	SRPK3
Hs.104980	DHTKD1
Hs.105399	RAD54L2
Hs.105448	WNK4
Hs.105887	ZG16B
Hs.105956	A4GALT
Hs.106880	BYSL
Hs.106909	ANAPC13
Hs.107003	CCNB1IP1
Hs.107382	DHX37
Hs.107911	ABCB6
Hs.107922	FAM178B
Hs.107944	ALS2CR12
Hs.108080	CSRP1
Hs.108106	UHRF1
Hs.108268	SLC25A47
Hs.108301	NR2C1
Hs.108530	TMEM30A
Hs.108957	RPS27L
Hs.108969	C19orf56
Hs.108973	DPM2
Hs.109087	CYP2U1
Hs.109225	VCAM1
Hs.109439	OGN
Hs.109731	GLG1
Hs.109752	C6orf108
Hs.109778	WDR48
Hs.110014	GIF
Hs.110069	FAM133A
Hs.110488	CHSY1
Hs.110571	GADD45B
Hs.110637	HOXA10
Hs.110695	SF3B5
Hs.110702	MMGT1
Hs.110757	RRP1
Hs.110837	TUBB4
Hs.110837	TUBB4
Hs.111227	ZIC3
Hs.111256	ALOX15B
Hs.111377	P2RY8
Hs.111377	P2RY8
Hs.111577	ITM2C
Hs.111591	ZDHHC19
Hs.111779	SPARC
Hs.111850	SMCP
Hs.111903	FCGRT
Hs.111944	CYP3A4
Hs.111944	CYP3A4
Hs.112218	GPR35
Hs.112318	TOMM7
Hs.112341	PI3
Hs.112405	S100A9
Hs.112405	S100A9
Hs.112408	S100A7
Hs.112651	LOC148145
Hs.112667	DNAI1
Hs.112743	SYCP1
Hs.112761	RNASE11
Hs.112794	C20orf79
Hs.112916	SLC3A1
Hs.112930	C12orf50
Hs.113291	MAGEB4
Hs.113314	C22orf36
Hs.113684	CDH12
Hs.113824	MAGEB2
Hs.113874	OMG
Hs.113876	WHSC1
Hs.113882	GABRD
Hs.113916	CXCR5
Hs.114172	BHMT2
Hs.114545	GPR55
Hs.115232	SF3A2
Hs.115263	EREG
Hs.115284	ZNF213
Hs.115429	RIMBP3
Hs.115460	CCIN
Hs.115838	TMC5
Hs.115896	PLBD2
Hs.116128	WFDC8
Hs.116147	ADAM7
Hs.116237	VAV1
Hs.116240	TMEM67
Hs.116250	GABRA2
Hs.116287	LOC348120
Hs.116303	DNAJC5G
Hs.116428	SCGN
Hs.116462	HNF4A
Hs.116467	PRAC
Hs.116471	CDH11
Hs.116827	C1orf95
Hs.116877	C3orf63
Hs.117167	SLC46A3
Hs.117367	SLC22A1
Hs.117545	PDE4D
Hs.117694	CABP5
Hs.117780	KCNS1
Hs.117853	LOC146880
Hs.117929	LOC401397
Hs.117929	LOC401397
Hs.117938	COL17A1
Hs.118118	TSPAN5
Hs.118127	ACTC1
Hs.118161	C10orf11
Hs.118166	DENND5B
Hs.118205	LOC144486
Hs.118354	PRR3
Hs.118552	TMEM132A
Hs.118555	FSCN2
Hs.118620	SERPINA10
Hs.118727	HES2
Hs.118958	STX11
Hs.118983	GSDMD
Hs.119207	LOC283079
Hs.119298	FLJ37453
Hs.119591	AP2S1
Hs.119598	RPL3
Hs.119689	CGA
Hs.119825	SPTA1
Hs.119882	CDK6
Hs.120021	RGS22
Hs.120094	RELL2
Hs.120260	FCRL4
Hs.120267	TSGA10
Hs.120316	C4orf35
Hs.120319	NT5C1B
Hs.120359	ARMS2
Hs.120364	NCRNA00295
Hs.120365	PRSS50
Hs.120391	HORMAD2
Hs.120551	TLR10
Hs.120591	BEND4
Hs.120725	CACNB4
Hs.120759	APOB
Hs.120831	C16orf82
Hs.120949	CD36
Hs.120950	RHAG
Hs.121021	SPATA3
Hs.121028	ASPM
Hs.121072	CCDC87
Hs.121084	SPINLW1
Hs.121200	RGSL1
Hs.121283	ZNF540
Hs.121333	MOBP
Hs.121347	C10orf82
Hs.121432	PPWD1
Hs.121438	CCDC42
Hs.121494	SPAM1
Hs.121510	GRM2
Hs.121554	CST9L
Hs.121605	RBMXL2
Hs.121776	TEX11
Hs.121870	NCDN
Hs.122055	C7orf31
Hs.122125	WDR72
Hs.122509	DEFB123
Hs.122511	CETN1
Hs.122523	SND1
Hs.122599	SPACA4
Hs.122785	MGAM
Hs.122908	CDT1
Hs.122986	TPTE
Hs.123034	GPR12
Hs.123114	CST1
Hs.123116	SLC12A1
Hs.123239	ACRBP
Hs.123530	ACTL7A
Hs.123534	TRIM16
Hs.123536	MAGEC2
Hs.124123	SYCN
Hs.124211	DEFB126
Hs.124384	ZNF738
Hs.124512	TBC1D21
Hs.124519	SOHLH2
Hs.124565	SLC23A3
Hs.124696	BDH2
Hs.124835	RNF186
Hs.124922	LRMP
Hs.125036	PLXDC1
Hs.125113	CCT8
Hs.125119	NRG3
Hs.125133	HPS6
Hs.125139	LRRC36
Hs.125507	DDX43
Hs.125750	KERA
Hs.125875	C16orf78
Hs.125898	GNAS
Hs.125960	C20orf70
Hs.126035	RPGRIP1
Hs.126256	IL1B
Hs.126265	ACY3
Hs.126496	ZNRF4
Hs.126497	AEBP2
Hs.126561	KIAA1409
Hs.126730	RNF133
Hs.126780	SEPT12
Hs.126830	SLC47A2
Hs.126838	ADAM29
Hs.126906	PTCD2
Hs.127011	TINAG
Hs.127026	C1orf127
Hs.127100	LOC440117
Hs.127286	LOC346887
Hs.127510	KLHL10
Hs.127530	ARMC4
Hs.127648	SLCO4C1
Hs.127680	LOC389332
Hs.127743	ATP6V1G3
