"unigeneid"	"organ"	"pvalue"	"rzscore"	"source"
"Hs.70769"	"blood vessel"	1.8e-20	5.771830875	"dbEST"
"Hs.188591"	"blood vessel"	1.19e-20	4.50183314	"dbEST"
"Hs.97997"	"blood vessel"	1.1e-20	4.799453021	"dbEST"
"Hs.571376"	"blood vessel"	1.08e-20	5.626767765	"dbEST"
"Hs.667264"	"blood vessel"	1.08e-20	7.068963625	"dbEST"
"Hs.673248"	"blood vessel"	1.08e-20	6.738112328	"dbEST"
"Hs.659442"	"blood vessel"	8.14e-21	5.746567408	"dbEST"
"Hs.434105"	"blood vessel"	8.08e-21	7.046803244	"dbEST"
"Hs.470892"	"blood vessel"	8.08e-21	7.014158549	"dbEST"
"Hs.536420"	"blood vessel"	8.08e-21	7.062606639	"dbEST"
"Hs.85524"	"blood vessel"	7.89e-21	6.539367488	"dbEST"
"Hs.340623"	"blood vessel"	6.55e-21	6.53523503	"dbEST"
"Hs.722635"	"blood vessel"	4.07e-21	6.980639529	"dbEST"
"Hs.729166"	"blood vessel"	3.06e-21	7.00974943	"dbEST"
"Hs.482533"	"blood vessel"	2.58e-21	6.979151967	"dbEST"
"Hs.405880"	"blood vessel"	2.58e-21	4.401707564	"dbEST"
"Hs.598305"	"blood vessel"	2.18e-21	7.069598468	"dbEST"
"Hs.464966"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.558776"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.560866"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.571009"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.723639"	"blood vessel"	1.88e-21	7.072427502	"dbEST"
"Hs.134974"	"blood vessel"	1.86e-21	5.956960978	"dbEST"
"Hs.334176"	"blood vessel"	1.26e-21	6.692040914	"dbEST"
"Hs.15833"	"blood vessel"	1.05e-21	6.835494043	"dbEST"
"Hs.655722"	"blood vessel"	7.23e-22	5.185744289	"dbEST"
"Hs.720793"	"blood vessel"	3.68e-22	6.659085387	"dbEST"
"Hs.504048"	"blood vessel"	3.4e-22	4.844985432	"dbEST"
"Hs.156178"	"blood vessel"	3.26e-22	4.387861263	"dbEST"
"Hs.334003"	"blood vessel"	3.15e-22	7.06569518	"dbEST"
"Hs.549548"	"blood vessel"	3.15e-22	7.070174373	"dbEST"
"Hs.669052"	"blood vessel"	3.15e-22	7.06986942	"dbEST"
"Hs.632595"	"blood vessel"	2.42e-22	6.841442682	"dbEST"
"Hs.446414"	"blood vessel"	1.87e-22	4.40185556	"dbEST"
"Hs.334177"	"blood vessel"	1.73e-22	7.04397959	"dbEST"
"Hs.661105"	"blood vessel"	1.73e-22	7.062289438	"dbEST"
"Hs.436787"	"blood vessel"	1.63e-22	6.072864533	"dbEST"
"Hs.535724"	"blood vessel"	1.51e-22	7.012793943	"dbEST"
"Hs.729458"	"blood vessel"	1.51e-22	7.007118715	"dbEST"
"Hs.662205"	"blood vessel"	1.49e-22	6.960022283	"dbEST"
"Hs.483136"	"blood vessel"	9.56e-23	4.507077488	"dbEST"
"Hs.474949"	"blood vessel"	7.56e-23	4.570577578	"dbEST"
"Hs.658046"	"blood vessel"	6.49e-23	5.521542886	"dbEST"
"Hs.145556"	"blood vessel"	4.57e-23	7.003813449	"dbEST"
"Hs.646699"	"blood vessel"	4.57e-23	6.784274329	"dbEST"
"Hs.595069"	"blood vessel"	3.38e-23	6.988038235	"dbEST"
"Hs.54415"	"blood vessel"	3.28e-23	7.071949005	"dbEST"
"Hs.611754"	"blood vessel"	3.28e-23	6.883659787	"dbEST"
"Hs.673245"	"blood vessel"	3.28e-23	7.06371244	"dbEST"
"Hs.674993"	"blood vessel"	3.28e-23	7.06318624	"dbEST"
"Hs.334086"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.43297"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.559499"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.561109"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.587171"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.652882"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.698187"	"blood vessel"	2.45e-23	7.072427502	"dbEST"
"Hs.729154"	"blood vessel"	1.77e-23	6.227176891	"dbEST"
"Hs.634954"	"blood vessel"	1.22e-23	7.047081156	"dbEST"
"Hs.729624"	"blood vessel"	8.9e-24	6.98912508	"dbEST"
"Hs.401537"	"blood vessel"	5.26e-24	5.294722728	"dbEST"
"Hs.333185"	"blood vessel"	4.43e-24	7.07171393	"dbEST"
"Hs.560761"	"blood vessel"	4.43e-24	7.059327895	"dbEST"
"Hs.707641"	"blood vessel"	4.37e-24	6.998183308	"dbEST"
"Hs.351113"	"blood vessel"	3.34e-24	7.037070987	"dbEST"
"Hs.272396"	"blood vessel"	2.74e-24	7.069285372	"dbEST"
"Hs.512285"	"blood vessel"	2.74e-24	7.059539346	"dbEST"
"Hs.729316"	"blood vessel"	2.74e-24	6.937329468	"dbEST"
"Hs.729333"	"blood vessel"	1.99e-24	6.855205618	"dbEST"
"Hs.682910"	"blood vessel"	9.48e-25	6.864565433	"dbEST"
"Hs.515972"	"blood vessel"	8.82e-25	5.424978906	"dbEST"
"Hs.709327"	"blood vessel"	8.25e-25	5.486896322	"dbEST"
"Hs.7353"	"blood vessel"	6.12e-25	5.593936094	"dbEST"
"Hs.555029"	"blood vessel"	4.9e-25	7.069966145	"dbEST"
"Hs.652649"	"blood vessel"	4.9e-25	7.069966145	"dbEST"
"Hs.659454"	"blood vessel"	4.9e-25	7.072014928	"dbEST"
"Hs.666398"	"blood vessel"	4.9e-25	7.055723173	"dbEST"
"Hs.487510"	"blood vessel"	4.35e-25	6.486398608	"dbEST"
"Hs.285724"	"blood vessel"	4.16e-25	6.912693834	"dbEST"
"Hs.334134"	"blood vessel"	3.2e-25	7.072427502	"dbEST"
"Hs.529324"	"blood vessel"	3.2e-25	7.072427502	"dbEST"
"Hs.558610"	"blood vessel"	3.2e-25	7.072427502	"dbEST"
"Hs.560530"	"blood vessel"	3.2e-25	7.072427502	"dbEST"
"Hs.422688"	"blood vessel"	2.44e-25	5.612575321	"dbEST"
"Hs.654433"	"blood vessel"	2.12e-25	4.720109735	"dbEST"
"Hs.551111"	"blood vessel"	2.01e-25	7.015895205	"dbEST"
"Hs.657203"	"blood vessel"	2.01e-25	7.067712972	"dbEST"
"Hs.333896"	"blood vessel"	6.19e-26	7.058250277	"dbEST"
"Hs.343198"	"blood vessel"	6.19e-26	7.069656328	"dbEST"
"Hs.437806"	"blood vessel"	6.19e-26	7.072324373	"dbEST"
"Hs.635280"	"blood vessel"	4.29e-26	7.050745797	"dbEST"
"Hs.480876"	"blood vessel"	3.27e-26	6.257806586	"dbEST"
"Hs.271643"	"blood vessel"	2.99e-26	4.273478016	"dbEST"
"Hs.276287"	"blood vessel"	2.93e-26	6.435425222	"dbEST"
"Hs.406917"	"blood vessel"	2.33e-26	5.054123928	"dbEST"
"Hs.21374"	"blood vessel"	1.81e-26	5.519206257	"dbEST"
"Hs.586313"	"blood vessel"	1.01e-26	6.674758161	"dbEST"
"Hs.170939"	"blood vessel"	9.11e-27	7.054507706	"dbEST"
"Hs.615630"	"blood vessel"	4.18e-27	7.072427502	"dbEST"
"Hs.679646"	"blood vessel"	4.18e-27	7.072427502	"dbEST"
"Hs.679756"	"blood vessel"	4.18e-27	7.072427502	"dbEST"
"Hs.665058"	"blood vessel"	3.66e-27	6.967048795	"dbEST"
"Hs.468702"	"blood vessel"	1.3e-27	4.605674743	"dbEST"
"Hs.711070"	"blood vessel"	1.12e-27	6.730392439	"dbEST"
"Hs.291212"	"blood vessel"	9.3e-28	6.423262625	"dbEST"
"Hs.664979"	"blood vessel"	8.72e-28	7.057421002	"dbEST"
"Hs.37135"	"blood vessel"	6.99e-28	4.32098888	"dbEST"
"Hs.422676"	"blood vessel"	1.76e-28	6.450790887	"dbEST"
"Hs.603289"	"blood vessel"	1.57e-28	6.317861926	"dbEST"
"Hs.22500"	"blood vessel"	1.24e-28	7.006533385	"dbEST"
"Hs.17267"	"blood vessel"	1.04e-28	6.767653948	"dbEST"
"Hs.133977"	"blood vessel"	5.78e-29	6.68369136	"dbEST"
"Hs.332360"	"blood vessel"	5.46e-29	7.072427502	"dbEST"
"Hs.713266"	"blood vessel"	5.46e-29	7.072427502	"dbEST"
"Hs.667247"	"blood vessel"	5.3e-29	7.065751827	"dbEST"
"Hs.591777"	"blood vessel"	5.23e-29	5.304407832	"dbEST"
"Hs.728936"	"blood vessel"	2.79e-29	6.967698764	"dbEST"
"Hs.660188"	"blood vessel"	1.85e-29	6.762013461	"dbEST"
"Hs.642618"	"blood vessel"	1.6e-29	5.702003716	"dbEST"
"Hs.333858"	"blood vessel"	1.2e-29	7.068933393	"dbEST"
"Hs.369168"	"blood vessel"	7.89e-30	5.689221595	"dbEST"
"Hs.283521"	"blood vessel"	2.34e-30	6.650314216	"dbEST"
"Hs.654838"	"blood vessel"	1.76e-30	5.705543151	"dbEST"
"Hs.709581"	"blood vessel"	9.29e-31	5.855846226	"dbEST"
"Hs.615684"	"blood vessel"	7.12e-31	7.072427502	"dbEST"
"Hs.679641"	"blood vessel"	7.12e-31	7.072427502	"dbEST"
"Hs.730081"	"blood vessel"	7.12e-31	7.072427502	"dbEST"
"Hs.730087"	"blood vessel"	7.12e-31	7.072427502	"dbEST"
"Hs.495728"	"blood vessel"	6.07e-31	5.871224276	"dbEST"
"Hs.320147"	"blood vessel"	2.62e-31	6.043127398	"dbEST"
"Hs.281902"	"blood vessel"	2.55e-31	4.730087805	"dbEST"
"Hs.558459"	"blood vessel"	1.93e-31	6.871859757	"dbEST"
"Hs.171384"	"blood vessel"	1.65e-31	7.071075898	"dbEST"
"Hs.266826"	"blood vessel"	1.33e-31	4.116712415	"dbEST"
"Hs.553106"	"blood vessel"	2.25e-32	6.865536405	"dbEST"
"Hs.560649"	"blood vessel"	2.25e-32	7.070938568	"dbEST"
"Hs.44640"	"blood vessel"	1.24e-32	6.744610338	"dbEST"
"Hs.585053"	"blood vessel"	1.12e-32	6.211266034	"dbEST"
"Hs.249960"	"blood vessel"	9.3e-33	7.072427502	"dbEST"
"Hs.553132"	"blood vessel"	9.3e-33	7.072427502	"dbEST"
"Hs.592162"	"blood vessel"	9.3e-33	7.072427502	"dbEST"
"Hs.511956"	"blood vessel"	6.02e-33	6.673663461	"dbEST"
"Hs.519719"	"blood vessel"	4.98e-33	4.912159114	"dbEST"
"Hs.552136"	"blood vessel"	2.28e-33	7.069434692	"dbEST"
